id,title,description,category,brand,price,discount_percentage,stock_quantity,rating,availability_status,minimum_order_quantity,created_at,updated_at
31,Seamless homogeneous flexibility,Understand on build floor challenge once sure time PM.,beauty,Essence,138.96,4.46,94,4.21,In Stock,44,2026-01-18T03:48:58,2026-07-24T13:06:12
32,Programmable multi-tasking encoding,Long majority exactly significant lot begin she represent good structure drug positive task reason avoid.,electronics,Samsung,212.12,0.6,75,2.66,In Stock,33,2025-09-05T07:07:40,2026-07-21T12:44:39
33,Extended 24/7 secured line,Life his maintain future sport seven method finish want remain.,electronics,Samsung,101.02,13.0,71,3.63,In Stock,15,2026-01-08T02:29:13,2026-07-26T01:57:00
34,Profit-focused bi-directional capacity,True history laugh per data hundred attention institution rather week.,groceries,,379.89,3.19,0,3.27,Low Stock,18,2025-11-08T11:35:03,2026-07-23T13:26:30
35,Digitized maximized benchmark,Drive thus cost agreement product laugh enter until.,fragrances,Chanel,169.62,1.85,97,2.29,In Stock,23,2024-10-21T10:07:35,2026-08-04T19:27:55
36,Optional didactic collaboration,Maybe meet apply evening best possible rule institution family idea order morning management.,electronics,Apple,365.41,10.72,5,4.92,Low Stock,25,2025-07-19T21:15:07,2026-07-23T21:44:15
37,Synergized actuating project,Where detail apply along entire assume big difficult per respond.,beauty,,415.04,12.37,37,4.59,In Stock,37,2025-06-17T12:42:16,2026-08-06T16:16:22
38,Cross-platform directional superstructure,Manager commercial data PM relationship explain about continue traditional performance school.,fragrances,Calvin Klein,331.31,15.46,5,4.96,Low Stock,15,2026-06-10T07:57:07,2026-07-30T04:32:24
39,Down-sized foreground software,Coach forward lay while program into again window.,beauty,Nail Couture,227.8,16.68,35,2.49,In Stock,23,2026-07-02T14:50:21,2026-07-22T08:12:47
40,Down-sized systematic task-force,Order wide on major easy body standard.,fragrances,Dior,468.45,12.96,89,3.83,In Stock,11,2025-10-31T17:37:35,2026-08-01T17:10:12
41,Focused multi-tasking middleware,Sense simple beyond sound friend make go nation professional.,electronics,Sony,232.21,5.4,20,4.78,In Stock,45,2025-03-02T01:16:39,2026-08-05T06:57:22
42,Persevering 24/7 help-desk,Report through simple tax total other both rate rock again without.,electronics,Sony,163.49,15.37,87,2.17,In Stock,3,2026-06-13T04:57:16,2026-07-29T07:08:40
43,Switchable client-server help-desk,All officer receive issue deal become turn help blue event phone nation treatment would.,furniture,Bath Trends,34.96,18.26,34,3.7,In Stock,46,2026-06-28T14:33:45,2026-08-13T04:25:09
44,Enhanced empowering service-desk,Thousand hospital individual yes finally American mind gas partner item lawyer why.,furniture,Knoll,250.62,17.69,83,3.93,In Stock,10,2026-04-24T13:18:21,2026-08-04T10:48:36
45,Horizontal bifurcated access,Until chair race model face newspaper class main ask far law design stay but.,furniture,Knoll,373.0,10.78,31,4.24,In Stock,28,2025-08-31T10:49:07,2026-08-02T10:50:10
46,Adaptive intermediate help-desk,Anyone case these size maybe when night.,electronics,LG,111.22,19.95,46,3.53,In Stock,6,2024-10-22T22:13:44,2026-07-31T17:52:49
47,Digitized upward-trending customer loyalty,One ball despite list great speech PM institution whom better end few financial.,beauty,Essence,314.47,15.84,19,3.27,In Stock,5,2025-10-29T03:00:29,2026-08-08T18:17:27
48,Synergistic fresh-thinking website,Cause should economic indicate current figure father until leave contain site street benefit money reason mean.,groceries,,498.07,10.58,76,4.91,In Stock,1,2026-01-31T07:22:39,2026-08-04T23:06:53
49,Persistent heuristic interface,Inside improve agree next whatever inside sense past few drug mention camera myself not.,beauty,,134.88,12.82,96,2.33,In Stock,28,2025-04-01T23:19:18,2026-07-21T04:54:08
50,Versatile hybrid capacity,Prove leg several military stuff be establish worry blood organization state not real.,fragrances,Gucci,477.0,17.52,0,2.79,Low Stock,33,2026-06-19T10:59:29,2026-07-21T13:26:27
51,Decentralized user-facing paradigm,School apply day century science manager difference put system feeling financial writer according machine reach.,fragrances,Dolce & Gabbana,435.52,5.97,13,3.92,In Stock,39,2024-11-14T05:20:11,2026-07-21T20:45:16
52,Adaptive coherent portal,Mind easy billion agency media hospital unit feel low.,fragrances,Chanel,381.73,10.79,47,4.34,In Stock,34,2025-01-07T01:50:09,2026-07-30T00:14:20
53,Quality-focused empowering pricing structure,Teacher pay it player continue stand price color score national live face property.,beauty,,245.33,2.24,41,3.09,In Stock,20,2025-11-17T10:21:39,2026-08-11T12:52:23
54,Multi-layered static focus group,History son less spend challenge exist build hope oil alone practice price know.,fragrances,Calvin Klein,439.25,18.94,30,2.26,In Stock,32,2025-05-19T15:35:47,2026-07-25T08:49:43
55,Persistent uniform knowledgebase,Across citizen may technology decision total modern message company charge pretty.,beauty,,64.63,13.2,98,4.84,In Stock,11,2025-10-28T12:50:36,2026-08-04T01:49:51
56,Persevering transitional toolset,Everything several field hour trouble population heavy line probably.,furniture,Bath Trends,464.6,15.11,27,4.07,In Stock,46,2025-11-07T13:09:09,2026-08-12T05:12:11
57,Vision-oriented stable moderator,Can food western give pay identify and system city benefit blood.,furniture,Bath Trends,325.64,8.76,85,3.55,In Stock,8,2026-01-26T18:29:36,2026-08-10T17:35:22
58,Inverse well-modulated emulation,Black thing rock himself wind two artist economy also seek.,fragrances,Chanel,170.37,11.77,8,2.69,Low Stock,15,2025-07-26T01:41:42,2026-08-05T18:38:42
59,Robust responsive algorithm,Fly recognize help writer off current education join experience.,beauty,Essence,316.29,4.58,90,4.72,In Stock,22,2025-01-20T09:30:46,2026-07-26T11:22:34
60,Optional multi-tasking workforce,Beat agency where benefit almost cell accept similar nothing ten.,beauty,,140.68,9.71,30,3.62,In Stock,47,2025-05-08T18:19:39,2026-07-27T14:25:24
61,Synergized upward-trending superstructure,Many strategy now list goal peace next case attack into heavy audience back site fear.,electronics,,123.01,9.46,60,3.22,In Stock,7,2024-11-16T17:20:10,2026-08-11T19:34:12
62,Focused actuating policy,Former difference wait two edge reflect attack the why avoid offer table use matter human.,beauty,Nail Couture,212.94,9.34,45,4.19,In Stock,44,2024-09-30T03:00:26,2026-08-14T02:35:47
63,Total bifurcated paradigm,View world president allow instead customer thousand arrive daughter stage form serious treatment artist.,beauty,Essence,364.65,16.01,51,2.33,In Stock,13,2025-09-04T11:32:33,2026-07-22T03:28:36
64,Re-contextualized reciprocal standardization,Generation audience indicate school upon thought long.,fragrances,Dolce & Gabbana,71.81,3.67,57,3.39,In Stock,5,2024-11-25T16:24:10,2026-07-31T17:41:36
65,Up-sized 6thgeneration benchmark,Market different go local sit theory direction.,groceries,,326.77,10.81,6,2.04,Low Stock,6,2024-09-29T02:55:45,2026-07-19T21:13:57
66,Vision-oriented zero tolerance workforce,Move team radio scene need appear she receive involve interview.,fragrances,Chanel,243.85,4.27,52,3.2,In Stock,4,2024-12-02T03:14:07,2026-07-24T05:11:33
67,Organic bottom-line pricing structure,Goal gas truth draw begin act including sell space movie animal soon.,fragrances,Gucci,492.68,5.3,0,4.35,Low Stock,30,2026-06-26T09:40:35,2026-07-30T17:42:32
68,Centralized asynchronous approach,Just executive fire own three your can huge price.,furniture,Bath Trends,478.74,19.91,89,3.67,In Stock,46,2026-01-09T02:44:18,2026-07-22T08:00:40
69,Compatible eco-centric moratorium,Manager same ground trip detail require walk sister fall president.,groceries,,149.76,19.37,24,3.74,In Stock,35,2025-09-30T08:05:44,2026-07-31T14:13:46
70,Intuitive tangible moratorium,Bit get improve wear main bad treatment success minute figure need but right small.,beauty,Chic Cosmetics,26.97,9.54,7,4.76,Low Stock,34,2024-09-13T23:37:48,2026-07-30T00:26:44
71,Total leadingedge projection,Well again student establish open feel whole arrive take himself affect him know difference.,fragrances,Calvin Klein,41.9,3.72,65,3.79,In Stock,44,2025-06-07T18:10:32,2026-07-27T13:24:04
72,Switchable intermediate monitoring,Produce all several visit travel senior from.,fragrances,Gucci,470.91,11.39,15,3.74,In Stock,3,2026-05-22T08:59:03,2026-07-31T08:24:04
73,Versatile optimizing data-warehouse,Game stop its into role save arm.,electronics,Samsung,329.37,11.3,53,2.95,In Stock,17,2024-11-09T22:50:02,2026-08-14T11:09:45
74,Networked uniform service-desk,Teach visit less occur nothing million class high second under car.,fragrances,Dior,134.28,2.62,30,3.94,In Stock,30,2024-08-28T22:02:51,2026-08-01T05:34:03
75,Synergized even-keeled artificial intelligence,Side fast number although ever environmental economy president sign activity.,furniture,Annibale Colombo,230.23,19.97,1,4.99,Low Stock,5,2025-04-12T11:56:55,2026-08-15T04:48:36
76,Switchable fresh-thinking firmware,Kitchen admit across already grow point news impact often.,electronics,Sony,134.07,18.67,64,4.64,In Stock,16,2024-10-17T21:52:11,2026-08-01T00:36:39
77,Seamless neutral functionalities,Key election skill employee manager dinner company that.,furniture,Furniture Co.,220.22,10.86,20,2.91,In Stock,42,2026-01-08T15:19:38,2026-07-21T00:17:34
78,Focused bifurcated projection,Contain medical key fish network direction weight.,electronics,Samsung,408.92,5.99,85,3.99,In Stock,9,2025-03-06T08:08:19,2026-07-31T02:28:24
79,Ameliorated systematic help-desk,Responsibility over glass back kitchen memory down for he state indeed politics then central force.,furniture,Annibale Colombo,371.72,3.11,13,2.85,In Stock,14,2026-04-21T07:27:31,2026-08-05T02:17:34
80,Managed incremental projection,Likely wind perform civil and us treatment agent participant space member sit.,furniture,Knoll,317.85,5.28,87,3.47,In Stock,4,2025-09-15T20:12:44,2026-08-15T20:00:33
81,Universal grid-enabled data-warehouse,Store allow risk high young bad back very different me off nature.,beauty,Nail Couture,23.96,6.67,35,2.39,In Stock,17,2025-07-07T20:35:11,2026-08-13T18:28:15
82,Upgradable bottom-line moderator,Parent process minute first crime offer treat.,fragrances,Gucci,353.42,11.22,70,2.34,In Stock,45,2025-04-29T10:07:53,2026-07-30T09:43:45
83,Visionary high-level emulation,Fire win realize knowledge whatever improve bag night baby gun machine discover skill discover.,fragrances,Dolce & Gabbana,417.63,11.65,4,2.44,Low Stock,9,2026-05-22T02:42:43,2026-07-24T16:29:29
84,Public-key dynamic time-frame,Purpose program painting somebody game brother impact measure chance management thing cup conference.,beauty,Chic Cosmetics,449.69,15.92,46,4.58,In Stock,23,2025-08-04T19:28:14,2026-07-19T08:36:05
85,Down-sized bottom-line instruction set,She represent like big thank street agency cold authority method more.,fragrances,Chanel,53.19,15.6,85,4.65,In Stock,27,2025-06-14T13:58:48,2026-08-08T02:36:42
86,Multi-channeled clear-thinking initiative,Drop fall front station from participant blue reveal available TV wear treat piece scientist job.,electronics,Sony,432.57,19.52,30,4.43,In Stock,27,2026-03-28T14:48:56,2026-08-10T18:23:49
87,Total client-driven superstructure,Rich operation star meeting charge account or purpose law.,beauty,Glamour Beauty,462.39,15.65,94,3.24,In Stock,43,2025-04-23T00:23:04,2026-08-08T21:31:09
88,Enhanced multimedia success,Evidence significant discussion manage answer military modern meet up expect himself serious well among war think.,fragrances,Dior,394.11,2.16,20,4.62,In Stock,31,2026-03-07T21:33:15,2026-07-28T19:59:20
89,Optional multi-state focus group,They fire girl close explain main difference college voice else paper blood discuss everything benefit.,fragrances,Chanel,176.13,16.41,58,4.61,In Stock,15,2025-10-20T00:04:51,2026-08-12T07:12:16
90,Versatile composite algorithm,Total whether music sometimes according strategy ago data walk number rule minute store far body relationship.,beauty,Glamour Beauty,165.47,17.29,51,4.9,In Stock,18,2026-06-04T06:10:48,2026-07-24T10:16:09
